Total memory size (Gb)	Stacked die count	Page size	Chip IO width	Activation energy	Area efficiency	Precharge energy	Read energy	TSV area overhead	TSV energy overhead per access	TSV latency overhead	Write energy	t_CAS	t_RAS	t_RC	t_RCD	t_RP	t_RRD
"	4.0	 "	"	8	 "	"	16384	 "	"	256	 "	"	1.51367	 "	"	33.3269	 "	"	1.44812	 "	"	1.68288	 "	"	0.003904	 "	"	0.603288	 "	"	2.13873	 "	"	1.68288	 "	"	10	 "	"	14	 "	"	19	 "	"	9	 "	"	7	 "	"	3	 "
"	4.0	 "	"	8	 "	"	8192	 "	"	1024	 "	"	2.70479	 "	"	22.5678	 "	"	2.61789	 "	"	7.52287	 "	"	0.01312	 "	"	2.19547	 "	"	2.13873	 "	"	7.52293	 "	"	14	 "	"	12	 "	"	17	 "	"	7	 "	"	7	 "	"	3	 "
"	2.0	 "	"	8	 "	"	16384	 "	"	1024	 "	"	3.08609	 "	"	26.6045	 "	"	3.03823	 "	"	4.09794	 "	"	0.013104	 "	"	2.1934	 "	"	2.13873	 "	"	4.09797	 "	"	9	 "	"	14	 "	"	18	 "	"	9	 "	"	7	 "	"	3	 "
"	1.0	 "	"	4	 "	"	32768	 "	"	1024	 "	"	1.1676	 "	"	25.542	 "	"	1.0896	 "	"	2.38349	 "	"	0.013104	 "	"	0.542721	 "	"	0.722927	 "	"	2.3835	 "	"	6	 "	"	14	 "	"	16	 "	"	12	 "	"	3	 "	"	1	 "
"	2.0	 "	"	8	 "	"	32768	 "	"	64	 "	"	1.20698	 "	"	41.7042	 "	"	1.12578	 "	"	1.07106	 "	"	0.001584	 "	"	0.203169	 "	"	2.13873	 "	"	1.07107	 "	"	9	 "	"	16	 "	"	19	 "	"	14	 "	"	5	 "	"	2	 "
"	2.0	 "	"	4	 "	"	16384	 "	"	1024	 "	"	1.45362	 "	"	27.2115	 "	"	1.38807	 "	"	3.59727	 "	"	0.01312	 "	"	0.543234	 "	"	0.722927	 "	"	3.5973	 "	"	8	 "	"	13	 "	"	18	 "	"	8	 "	"	6	 "	"	2	 "
"	1.0	 "	"	4	 "	"	8192	 "	"	128	 "	"	0.554909	 "	"	33.2099	 "	"	0.505517	 "	"	0.799303	 "	"	0.002352	 "	"	0.0831009	 "	"	0.722927	 "	"	0.799311	 "	"	8	 "	"	10	 "	"	15	 "	"	6	 "	"	6	 "	"	2	 "
"	4.0	 "	"	8	 "	"	16384	 "	"	64	 "	"	1.11502	 "	"	44.0845	 "	"	1.04747	 "	"	1.01596	 "	"	0.0016	 "	"	0.205242	 "	"	2.13873	 "	"	1.01596	 "	"	10	 "	"	14	 "	"	19	 "	"	9	 "	"	7	 "	"	3	 "
"	4.0	 "	"	4	 "	"	8192	 "	"	64	 "	"	0.639932	 "	"	34.4404	 "	"	0.473713	 "	"	1.27054	 "	"	0.001632	 "	"	0.0512969	 "	"	0.722927	 "	"	1.27054	 "	"	23	 "	"	13	 "	"	18	 "	"	7	 "	"	6	 "	"	3	 "
"	1.0	 "	"	4	 "	"	8192	 "	"	512	 "	"	0.751889	 "	"	27.458	 "	"	0.702497	 "	"	1.9717	 "	"	0.00696	 "	"	0.280081	 "	"	0.722927	 "	"	1.97173	 "	"	7	 "	"	10	 "	"	15	 "	"	6	 "	"	6	 "	"	2	 "
"	4.0	 "	"	4	 "	"	8192	 "	"	1024	 "	"	1.13238	 "	"	22.9266	 "	"	0.966163	 "	"	10.4455	 "	"	0.013152	 "	"	0.543747	 "	"	0.722927	 "	"	10.4456	 "	"	23	 "	"	13	 "	"	18	 "	"	7	 "	"	6	 "	"	3	 "
"	2.0	 "	"	8	 "	"	32768	 "	"	128	 "	"	1.33966	 "	"	41.1277	 "	"	1.25846	 "	"	1.07224	 "	"	0.002352	 "	"	0.335851	 "	"	2.13873	 "	"	1.07224	 "	"	8	 "	"	16	 "	"	19	 "	"	14	 "	"	5	 "	"	2	 "
"	4.0	 "	"	8	 "	"	8192	 "	"	256	 "	"	1.11261	 "	"	31.2521	 "	"	1.0257	 "	"	2.23573	 "	"	0.003904	 "	"	0.603288	 "	"	2.13873	 "	"	2.23574	 "	"	13	 "	"	12	 "	"	17	 "	"	7	 "	"	7	 "	"	3	 "
"	2.0	 "	"	4	 "	"	32768	 "	"	256	 "	"	1.15843	 "	"	40.3111	 "	"	1.07188	 "	"	1.09998	 "	"	0.003904	 "	"	0.149274	 "	"	0.722927	 "	"	1.09999	 "	"	7	 "	"	15	 "	"	18	 "	"	12	 "	"	4	 "	"	1	 "
